
Epoch [19/100] Loss_D: 0.0283, Loss_G: 4.5213

Epoch [20/100] Loss_D: 0.0784, Loss_G: 4.3629

Epoch [20/100] Loss_D: 0.0774, Loss_G: 6.4210

Epoch [20/100] Loss_D: 0.0405, Loss_G: 5.2143

Epoch [20/100] Loss_D: 0.0515, Loss_G: 5.2961

Epoch [20/100] Loss_D: 0.0658, Loss_G: 6.5664

Epoch [21/100] Loss_D: 0.0213, Loss_G: 4.7474

Epoch [21/100] Loss_D: 0.0513, Loss_G: 4.8447

Epoch [21/100] Loss_D: 0.0843, Loss_G: 4.7851

Epoch [21/100] Loss_D: 0.0131, Loss_G: 5.1792

Epoch [21/100] Loss_D: 0.3008, Loss_G: 6.6109

Epoch [22/100] Loss_D: 0.1260, Loss_G: 7.3022

Epoch [22/100] Loss_D: 0.0246, Loss_G: 5.6989

Epoch [22/100] Loss_D: 0.0457, Loss_G: 6.0290

Epoch [22/100] Loss_D: 0.1710, Loss_G: 7.8090

Epoch [22/100] Loss_D: 0.0396, Loss_G: 5.0035

Epoch [23/100] Loss_D: 0.0141, Loss_G: 5.8253

Epoch [23/100] Loss_D: 0.0640, Loss_G: 4.6748

Epoch [23/100] Loss_D: 0.0130, Loss_G: 5.3214

Epoch [23/100] Loss_D: 0.0489, Loss_G: 4.6617

Epoch [23/100] Loss_D: 0.0234, Loss_G: 5.4363

Epoch [24/100] Loss_D: 0.0333, Loss_G: 3.0265

Epoch [24/100] Loss_D: 0.0728, Loss_G: 5.9887

Epoch [24/100] Loss_D: 0.0293, Loss_G: 4.8326

Epoch [24/100] Loss_D: 0.0365, Loss_G: 6.0748

Epoch [24/100] Loss_D: 0.0123, Loss_G: 5.7952

Epoch [25/100] Loss_D: 0.0469, Loss_G: 7.8228

Epoch [25/100] Loss_D: 0.0652, Loss_G: 7.9467

Epoch [25/100] Loss_D: 0.0233, Loss_G: 6.5115

Epoch [25/100] Loss_D: 0.0244, Loss_G: 6.4886

Epoch [25/100] Loss_D: 0.0134, Loss_G: 5.0355

Epoch [26/100] Loss_D: 0.0151, Loss_G: 5.2454

Epoch [26/100] Loss_D: 3.4105, Loss_G: 8.0054

Epoch [26/100] Loss_D: 0.0349, Loss_G: 5.3528

Epoch [26/100] Loss_D: 0.0403, Loss_G: 4.1564

Epoch [26/100] Loss_D: 0.0774, Loss_G: 5.6845

Epoch [27/100] Loss_D: 0.0328, Loss_G: 5.9161

Epoch [27/100] Loss_D: 0.0135, Loss_G: 6.8509

Epoch [27/100] Loss_D: 0.0218, Loss_G: 4.2128

Epoch [27/100] Loss_D: 0.0427, Loss_G: 6.7112

Epoch [27/100] Loss_D: 0.0078, Loss_G: 5.7481

